news_id,average followers,average follows,repost total,post total,repost percentage,average repost,average favorite,label,news lifetime,nb users 10 hours,average time difference,retweet percentage 1 hour
gossipcop-1086231022,4158.3104693140795,1503.9891696750904,15054,99,0.9934666402692536,90.34659803339272,216.20216606498195,0,61391,6,0.0,6.599353263380188e-05
gossipcop-1143106542,16197.736842105263,515.0263157894736,14,32,0.30434782608695654,0.43478260869565216,3.1315789473684212,0,28237,1,0.0,0.021739130434782608
gossipcop-1295868519,3049.3333333333335,818.6666666666666,2,5,0.2857142857142857,0.2857142857142857,1.1666666666666667,0,61133,1,0.0,0.14285714285714285
gossipcop-1360722071,1525.4827586206898,851.5034482758621,368,100,0.7863247863247863,8.914529914529915,36.47586206896552,0,17641,6,0.0,0.00641025641025641
gossipcop-1398529432,6367.32,851.36,2,25,0.07407407407407407,0.14814814814814814,1.64,0,13873,23,0.0,0.14814814814814814
gossipcop-1525600180,1285.6927374301677,556.3240223463687,4568,98,0.9789969995713673,24.33776253750536,344.80167597765364,0,68775,3,0.0,0.0002143163309044149
gossipcop-1704742043,61.0,84.0,0,1,0.0,0.0,1.0,0,0,1,0.0,1.0
gossipcop-2077133127,661.1553398058253,238.3495145631068,30,98,0.234375,1.171875,8.135922330097088,0,69182,8,0.0,0.0078125
gossipcop-2121835149,212.0,20.0,0,1,0.0,0.0,0.0,0,0,1,0.0,1.0
gossipcop-213925729,662.0442477876106,329.07964601769913,36,100,0.2647058823529412,0.5294117647058824,4.070796460176991,0,80127,6,0.0,0.007352941176470588
gossipcop-2319612469,84.5,242.0,0,2,0.0,0.0,2.0,0,22073,1,0.0,0.5
gossipcop-2628357669,2567.81,712.03,28,100,0.21875,2.75,4.61,0,9339,17,0.0,0.015625
gossipcop-2695444481,833.5840707964602,563.3982300884956,100,99,0.5025125628140703,4.150753768844221,10.300884955752212,0,3214,22,0.0,0.01507537688442211
gossipcop-281278607,1740.1666666666667,12.833333333333334,0,6,0.0,0.0,0.16666666666666666,0,37181,1,0.0,0.16666666666666666
gossipcop-2856325908,925.0849673202614,589.6143790849674,386,99,0.7958762886597938,8.367010309278351,19.30065359477124,0,43220,1,0.0,0.002061855670103093
gossipcop-3086758488,1408.574,714.434,20808,200,0.9904798172124905,172.74752475247524,111.716,0,68934,5,0.0,0.0001904036557501904
gossipcop-31065928,5478.623529411765,1152.7529411764706,2594,14,0.9946319018404908,37.20245398773006,206.63529411764705,0,38379,1,0.0,0.0003834355828220859
gossipcop-3452563867,3437.75,498.0,2,3,0.4,0.4,0.0,0,81740,1,0.0,0.2
gossipcop-3484539870,4137.774193548387,572.6451612903226,26,21,0.5531914893617021,0.9361702127659575,4.290322580645161,0,33865,1,0.0,0.02127659574468085
gossipcop-3663541013,1324.81512605042,332.73949579831935,70,99,0.41420118343195267,1.2307692307692308,5.764705882352941,0,56968,24,0.0,0.05325443786982249
gossipcop-3714410350,1031.6216216216217,551.0900900900901,30,99,0.23255813953488372,0.4186046511627907,1.936936936936937,0,76557,33,0.0,0.06201550387596899
gossipcop-3899200812,10237.5,6679.75,12,1,0.9230769230769231,2.769230769230769,26.0,0,0,1,0.0,0.07692307692307693
gossipcop-4225127848,2371.5,1236.0,0,2,0.0,0.0,1.5,0,33504,1,0.0,0.5
gossipcop-4573827383,2723.817391304348,705.2782608695652,28,100,0.21875,0.359375,1.617391304347826,0,20528,90,0.0,0.1171875
gossipcop-5780624942,882.2946859903382,799.536231884058,2346,100,0.9591169255928046,29.54129190515127,41.207729468599034,0,68329,10,0.0,0.0008176614881439084
gossipcop-6044982799,1067.8175675675675,590.2972972972973,176,100,0.6376811594202898,1.9855072463768115,10.52027027027027,0,81161,1,0.0,0.007246376811594203
gossipcop-606657710,256.8,49.2,0,5,0.0,0.0,1.8,0,48302,1,0.0,0.2
gossipcop-6071391632,1033.6,1912.6,0,10,0.0,0.0,0.9,0,29045,1,0.0,0.1
